X,Y,OBJECTID,Reported_Date,Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,Reported_Day,Reported_Month,Reported_Year,Date_Reported
-113.5047589,53.55884285,9942,2022/08/24 12:00:00+00,Violent,Personal Violence,Assault,107 ST/111 AV,24,8,2022,24-08-2022
-113.5121147,53.55299383,9943,2022/08/24 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,108 AV/111 ST,24,8,2022,24-08-2022
-113.5974978,53.4304708,9944,2022/08/24 12:00:00+00,Non-Violent,Property,Break and Enter Residential,AINSLIE LK SW/ALLAN WY SW,24,8,2022,24-08-2022
-113.4366707,53.5984078,9945,2022/08/24 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,136 AV/62 ST,24,8,2022,24-08-2022
-113.5166101,53.60702831,9946,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,145 AV/AD ASTRA BV,24,8,2022,24-08-2022
-113.418691,53.53802621,9947,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,50 ST/50 ST,24,8,2022,24-08-2022
-113.5375983,53.60673298,9948,2022/08/24 12:00:00+00,Disorder,Provincial Statute Violations,Intoxicated Person,122 ST/145 AV,24,8,2022,24-08-2022
-113.4746199,53.55184841,9949,2022/08/23 12:00:00+00,Non-Violent,Property,Fraud - Financial,105A AV/90 ST,23,8,2022,23-08-2022
-113.5290649,53.50219944,9950,2022/08/23 12:00:00+00,Non-Violent,Property,Theft Under $5000,SOUTH CAMPUS TC/SOUTH CAMPUS TC,23,8,2022,23-08-2022
-113.5176297,53.54826022,9951,2022/08/23 12:00:00+00,Non-Violent,Property,Theft Under $5000,105 AV/114 ST,23,8,2022,23-08-2022
-113.5213118,53.55458538,9952,2022/08/23 12:00:00+00,Non-Violent,Property,Theft Under $5000,116 ST/109 AV,23,8,2022,23-08-2022
-113.5833647,53.55260645,9953,2022/08/23 12:00:00+00,Violent,Personal Violence,Assault,108 AV/152 ST,23,8,2022,23-08-2022
-113.4426003,53.43084042,9954,2022/08/23 12:00:00+00,Disorder,General Disorder,Suspicious Person,66 ST SW/2 AV SW,23,8,2022,23-08-2022
-113.4912931,53.51806322,9955,2022/08/23 12:00:00+00,Disorder,Provincial Statute Violations,Intoxicated Person,101 ST/82 AV,23,8,2022,23-08-2022
-113.4766708,53.51903153,9956,2022/08/23 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,83 AV/96 ST,23,8,2022,23-08-2022
-113.5063109,53.51809052,9957,2022/08/23 12:00:00+00,Non-Violent,Property,Fraud - Financial,107 ST/82 AV,23,8,2022,23-08-2022
-113.471808,53.57039078,9958,2022/08/23 12:00:00+00,Non-Violent,Property,Fraud Personal,118 AV/85 ST,23,8,2022,23-08-2022
-113.4859823,53.45143977,9959,2022/08/23 12:00:00+00,Non-Violent,Property,Break and Enter Commercial,21 AV/99 ST,23,8,2022,23-08-2022
-113.4917996,53.56576712,9960,2022/08/23 12:00:00+00,Non-Violent,Property,Theft Under $5000,115 AV/97 ST,23,8,2022,23-08-2022
-113.4879913,53.49569262,9961,2022/08/23 12:00:00+00,Non-Violent,Property,Theft Under $5000,60 AV/60 AV,23,8,2022,23-08-2022
-113.4886441,53.56104839,9962,2022/08/23 12:00:00+00,Non-Violent,Property,Break and Enter Residential,112 AV/95A ST,23,8,2022,23-08-2022
-113.6028659,53.52003354,9963,2022/08/23 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,163 ST/163 ST,23,8,2022,23-08-2022
-113.4865804,53.56019172,9964,2022/08/23 12:00:00+00,Non-Violent,Property,Possession Stolen Property,111 AV/95 ST,23,8,2022,23-08-2022
-113.5004661,53.51707995,9965,2022/08/23 12:00:00+00,Disorder,General Disorder,Trespassing,105 ST/81 AV,23,8,2022,23-08-2022
-113.519871,53.42745739,9966,2022/08/23 12:00:00+00,Non-Violent,Property,Theft Under $5000,MCMULLEN GR SW/MCMULLEN PL SW,23,8,2022,23-08-2022
